D058165	22q11 Deletion Syndrome
D000130	Achondroplasia
D020083	Acquired Hyperostosis Syndrome
D030981	Acro-Osteolysis
D000168	Acrocephalosyndactylia
D000172	Acromegaly
D050398	Adamantinoma
D000387	Ainhum
D016301	Alveolar Bone Loss
D000844	Ankylosis
D000868	Anterior Compartment Syndrome
D054882	Antley-Bixler Syndrome Phenotype
D054119	Arachnodactyly
D018771	Arthralgia
D001168	Arthritis
D001169	Arthritis, Experimental
D015210	Arthritis, Gouty
D001170	Arthritis, Infectious
D001171	Arthritis, Juvenile
D015535	Arthritis, Psoriatic
D016918	Arthritis, Reactive
D001172	Arthritis, Rheumatoid
D001176	Arthrogryposis
D001177	Arthropathy, Neurogenic
D000083144	Autosomal Emery-Dreifuss Muscular Dystrophy
D000089183	Axial Spondyloarthritis
D001478	Basal Cell Nevus Syndrome
D059266	Bisphosphonate-Associated Osteonecrosis of the Jaw
D060750	Bone Anteversion
D001845	Bone Cysts
D017824	Bone Cysts, Aneurysmal
D018488	Bone Demineralization, Pathologic
D001847	Bone Diseases
D001848	Bone Diseases, Developmental
D001849	Bone Diseases, Endocrine
D001850	Bone Diseases, Infectious
D001851	Bone Diseases, Metabolic
D017760	Bone Malalignment
D001859	Bone Neoplasms
D001862	Bone Resorption
D060751	Bone Retroversion
D059327	Brachydactyly
D055091	Bronchomalacia
D000071378	Bunion
D050489	Bunion, Tailor's
D002062	Bursitis
D055036	Campomelic Dysplasia
D003966	Camurati-Engelmann Syndrome
D002205	Caplan Syndrome
D002357	Cartilage Diseases
D002636	Cherubism
D002805	Chondrocalcinosis
D002806	Chondrodysplasia Punctata
D018902	Chondrodysplasia Punctata, Rhizomelic
D046789	Chondromalacia Patellae
D015838	Chondromatosis, Synovial
D000083182	Chronic Exertional Compartment Syndrome
D012080	Chronic Kidney Disease-Mineral and Bone Disorder
D002972	Cleft Palate
D002973	Cleidocranial Dysplasia
D003025	Clubfoot
D003057	Cockayne Syndrome
D003100	Colles' Fracture
D003161	Compartment Syndromes
D003409	Congenital Hypothyroidism
D003286	Contracture
D056685	Costello Syndrome
D000070603	Coxa Magna
D060906	Coxa Valga
D060905	Coxa Vara
D019465	Craniofacial Abnormalities
D003394	Craniofacial Dysostosis
D000077275	Craniofacial Fibrous Dysplasia
D017271	Craniomandibular Disorders
D003398	Craniosynostoses
D000070657	Crystal Arthropathies
D053684	De Quervain Disease
D003649	Decalcification, Pathologic
D003803	Dentigerous Cyst
D063169	Dentofacial Deformities
D003882	Dermatomyositis
D000082602	Developmental Dysplasia of the Hip
D004062	DiGeorge Syndrome
D000070631	Diastasis, Bone
D000070630	Diastasis, Muscle
D015299	Discitis
D049310	Distal Myopathies
D056731	Donohue Syndrome
D004387	Dupuytren Contracture
D004392	Dwarfism
D004393	Dwarfism, Pituitary
D004413	Dysostoses
D004480	Ectromelia
D000070639	Elbow Tendinopathy
D004613	Ellis-Van Creveld Syndrome
D004687	Enchondromatosis
D000070676	Enthesopathy
D016603	Eosinophilia-Myalgia Syndrome
D004803	Eosinophilic Granuloma
D004839	Epiphyses, Slipped
D004863	Equinus Deformity
D005096	Exostoses
D005097	Exostoses, Multiple Hereditary
D053098	Familial Hypophosphatemic Rickets
D005208	Fasciitis
D019115	Fasciitis, Necrotizing
D036981	Fasciitis, Plantar
D015673	Fatigue Syndrome, Chronic
D005258	Felty Syndrome
D057925	Femoracetabular Impingement
D005266	Femoral Neoplasms
D005271	Femur Head Necrosis
D000071380	Fibromatosis, Plantar
D005356	Fibromyalgia
D005357	Fibrous Dysplasia of Bone
D005358	Fibrous Dysplasia, Monostotic
D005359	Fibrous Dysplasia, Polyostotic
D005413	Flatfoot
D005489	Focal Dermal Hypoplasia
D005530	Foot Deformities
D005531	Foot Deformities, Acquired
D005532	Foot Deformities, Congenital
D005534	Foot Diseases
D000072039	Fracture Dislocation
D058497	Fraser Syndrome
D005660	Funnel Chest
D020139	Gastroschisis
D056304	Genu Valgum
D056305	Genu Varum
D000070779	Giant Cell Tumor of Tendon Sheath
D005877	Gigantism
D006014	Glycogen Storage Disease Type VII
D006053	Goldenhar Syndrome
D006073	Gout
D006101	Granuloma, Giant Cell
D031845	Hajdu-Cheney Syndrome
D006210	Hallermann's Syndrome
D020857	Hallux Limitus
D020859	Hallux Rigidus
D006215	Hallux Valgus
D050488	Hallux Varus
D037801	Hammer Toe Syndrome
D006226	Hand Deformities
D006227	Hand Deformities, Acquired
D006228	Hand Deformities, Congenital
D036982	Heel Spur
D006395	Hemarthrosis
