D058165	22q11 Deletion Syndrome
D020943	AIDS Arteritis, Central Nervous System
D016170	Accelerated Idioventricular Rhythm
D054058	Acute Coronary Syndrome
D000219	Adams-Stokes Syndrome
D016738	Alagille Syndrome
D050030	Andersen Syndrome
D000783	Aneurysm
D000784	Aneurysm, Dissecting
D017541	Aneurysm, False
D000785	Aneurysm, Infected
D017542	Aneurysm, Ruptured
D000787	Angina Pectoris
D000788	Angina Pectoris, Variant
D060050	Angina, Stable
D000789	Angina, Unstable
D016888	Angiodysplasia
D000799	Angioedema
D054179	Angioedemas, Hereditary
D000798	Angiomatosis
D016917	Angiomatosis, Bacillary
D000080038	Anomalous Left Coronary Artery
D000868	Anterior Compartment Syndrome
D020759	Anterior Spinal Artery Syndrome
D056988	Anterior Wall Myocardial Infarction
D056648	Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis
D001014	Aortic Aneurysm
D017544	Aortic Aneurysm, Abdominal
D017545	Aortic Aneurysm, Thoracic
D001015	Aortic Arch Syndromes
D001017	Aortic Coarctation
D001018	Aortic Diseases
D001019	Aortic Rupture
D001020	Aortic Stenosis, Subvalvular
D021921	Aortic Stenosis, Supravalvular
D000082862	Aortic Valve Disease
D001022	Aortic Valve Insufficiency
D001023	Aortic Valve Prolapse
D001024	Aortic Valve Stenosis
D000082903	Aortico-Ventricular Tunnel
D001025	Aortitis
D001028	Aortopulmonary Septal Defect
D001146	Arrhythmia, Sinus
D001145	Arrhythmias, Cardiac
D019571	Arrhythmogenic Right Ventricular Dysplasia
D001157	Arterial Occlusive Diseases
D001159	Arterio-Arterial Fistula
D050379	Arteriolosclerosis
D001161	Arteriosclerosis
D001162	Arteriosclerosis Obliterans
D001164	Arteriovenous Fistula
D001165	Arteriovenous Malformations
D001167	Arteritis
D001260	Ataxia Telangiectasia
D050197	Atherosclerosis
D001281	Atrial Fibrillation
D001282	Atrial Flutter
D018880	Atrial Premature Complexes
D054537	Atrioventricular Block
D056889	Barth Syndrome
D020144	Basal Ganglia Cerebrovascular Disease
D020145	Basal Ganglia Hemorrhage
D001528	Behcet Syndrome
D000082882	Bicuspid Aortic Valve Disease
D063748	Bland White Garland Syndrome
D018438	Blue Toe Syndrome
D001919	Bradycardia
D020201	Brain Hemorrhage, Traumatic
D020520	Brain Infarction
D002545	Brain Ischemia
D020203	Brain Stem Hemorrhage, Traumatic
D020526	Brain Stem Infarctions
D053840	Brugada Syndrome
D006502	Budd-Chiari Syndrome
D002037	Bundle-Branch Block
D046589	CADASIL
D017675	CREST Syndrome
D019559	Capillary Leak Syndrome
D002275	Carcinoid Heart Disease
D005117	Cardiac Complexes, Premature
D000075224	Cardiac Conduction System Disease
D016534	Cardiac Output, High
D002303	Cardiac Output, Low
D000084122	Cardiac Papillary Fibroelastoma
D002305	Cardiac Tamponade
D059347	Cardio-Renal Syndrome
D006332	Cardiomegaly
D009202	Cardiomyopathies
D002310	Cardiomyopathy, Alcoholic
D002311	Cardiomyopathy, Dilated
D002312	Cardiomyopathy, Hypertrophic
D024741	Cardiomyopathy, Hypertrophic, Familial
D002313	Cardiomyopathy, Restrictive
D066126	Cardiotoxicity
D018376	Cardiovascular Abnormalities
D053821	Cardiovascular Infections
D056733	Carney Complex
D002340	Carotid Artery Diseases
D020212	Carotid Artery Injuries
D002341	Carotid Artery Thrombosis
D020215	Carotid Artery, Internal, Dissection
D016893	Carotid Stenosis
D020216	Carotid-Cavernous Sinus Fistula
D020226	Cavernous Sinus Thrombosis
D020785	Central Nervous System Vascular Malformations
D020787	Central Nervous System Venous Angioma
D016657	Cerebral Amyloid Angiopathy
D028243	Cerebral Amyloid Angiopathy, Familial
D002539	Cerebral Arterial Diseases
D002543	Cerebral Hemorrhage
D020202	Cerebral Hemorrhage, Traumatic
D002544	Cerebral Infarction
D000074042	Cerebral Intraventricular Hemorrhage
D059345	Cerebral Small Vessel Diseases
D002561	Cerebrovascular Disorders
D020214	Cerebrovascular Trauma
D002573	Cervical Rib Syndrome
D002598	Chagas Cardiomyopathy
D000083182	Chronic Exertional Compartment Syndrome
D000089802	Chronic Limb-Threatening Ischemia
D015267	Churg-Strauss Syndrome
D055952	Cogan Syndrome
D017091	Colitis, Ischemic
D056104	Commotio Cordis
D003161	Compartment Syndromes
D000080041	Congenitally Corrected Transposition of the Great Arteries
D003310	Cor Triatriatum
D003323	Coronary Aneurysm
D003324	Coronary Artery Disease
D003327	Coronary Disease
D054059	Coronary Occlusion
D023903	Coronary Restenosis
D023921	Coronary Stenosis
D003328	Coronary Thrombosis
D003329	Coronary Vasospasm
D003330	Coronary Vessel Anomalies
D058686	Coronary-Subclavian Steal Syndrome
D003420	Crisscross Heart
D003449	Cryoglobulinemia
D016757	Death, Sudden, Cardiac
